🕘️更新时间,#genre#
涟水电视台综合,http://192.168.2.100:8080/hls/1354673921068970282.m3u8
涟水电视台综合,http://192.168.2.100:8080/hls/-7492542247530642204.m3u8
淮安影院娱乐,http://192.168.2.100:8080/hls/8971342946061287817.m3u8
淮安新闻综合,http://192.168.2.100:8080/hls/8149576322744725599.m3u8
淮安新闻综合,http://192.168.2.100:8080/hls/-9015342341060663404.m3u8
淮安新闻综合,http://192.168.2.100:8080/hls/-5558621034809776161.m3u8
淮安新闻综合,http://192.168.2.100:8080/hls/387068341760358764.m3u8
淮阴综合,http://192.168.2.100:8080/hls/-1448531701934957113.m3u8
苏州文化生活,http://192.168.2.100:8080/hls/-4218892522866555827.m3u8
苏州生活资讯,http://192.168.2.100:8080/hls/-5471408527630334079.m3u8
连云港新闻综合,http://192.168.2.100:8080/hls/5615824225669727831.m3u8
靖江新闻综合,http://192.168.2.100:8080/hls/-757712577515753262.m3u8

☘️辽宁频道,#genre#
辽宁北方,http://192.168.2.100:8080/hls/6751810264233016587.m3u8
辽宁影视剧,http://192.168.2.100:8080/hls/7601099485204864723.m3u8
辽宁教育青少,http://192.168.2.100:8080/hls/-2245742225314151726.m3u8
辽宁生活,http://192.168.2.100:8080/hls/3431770557134680152.m3u8
辽宁都市,http://192.168.2.100:8080/hls/-4693653040303999437.m3u8

☘️湖南频道,#genre#
长沙新闻综合,http://192.168.2.100:8080/hls/-7730240719370520247.m3u8

☘️湖北频道,#genre#
武汉一台新闻综合,http://192.168.2.100:8080/hls/-807893230216734921.m3u8
武汉四台经济,http://192.168.2.100:8080/hls/-7035827890631867633.m3u8
十堰新闻,http://192.168.2.100:8080/hls/8588519926177825401.m3u8
荆门新闻综合,http://192.168.2.100:8080/hls/-1681372095751455916.m3u8
荆门新闻综合,http://192.168.2.100:8080/hls/8643320922428780264.m3u8

☘️广西频道,#genre#
南宁公共,http://192.168.2.100:8080/hls/2095886105283919305.m3u8
南宁公共,http://192.168.2.100:8080/hls/8363538128470307763.m3u8
南宁公共,http://192.168.2.100:8080/hls/6769471397699350817.m3u8
南宁公共,http://192.168.2.100:8080/hls/-1788421104693034430.m3u8
南宁公共,http://192.168.2.100:8080/hls/1611444243152706856.m3u8
南宁都市生活,http://192.168.2.100:8080/hls/7567970435145701545.m3u8
灌阳新闻综合,http://192.168.2.100:8080/hls/4653224868157571648.m3u8
广西国际,http://192.168.2.100:8080/hls/4579850847161728113.m3u8
广西国际,http://192.168.2.100:8080/hls/8466777376111152114.m3u8

☘️天津频道,#genre#

☘️四川频道,#genre#
乐山新闻综合,http://192.168.2.100:8080/hls/7576107748816017869.m3u8
乐山新闻综合,http://192.168.2.100:8080/hls/1342211675026179359.m3u8
叙永综合,http://192.168.2.100:8080/hls/258938260190421284.m3u8
广元综合,http://192.168.2.100:8080/hls/5577437777267507204.m3u8
广元综合,http://192.168.2.100:8080/hls/4481437247879825081.m3u8
德阳新闻综合,http://192.168.2.100:8080/hls/4961156365434243389.m3u8
德阳新闻综合,http://192.168.2.100:8080/hls/991616075466275895.m3u8
德阳新闻综合,http://192.168.2.100:8080/hls/-6756285245587963647.m3u8
松潘新闻综合,http://192.168.2.100:8080/hls/-4347459464504524320.m3u8
汶川新闻综合,http://192.168.2.100:8080/hls/-8649891835278596700.m3u8
汶川新闻综合,http://192.168.2.100:8080/hls/-8602787141880778453.m3u8
泸县新闻综合,http://192.168.2.100:8080/hls/-686909625940002967.m3u8
泸县新闻综合,http://192.168.2.100:8080/hls/1604161906582609308.m3u8
泸县新闻综合,http://192.168.2.100:8080/hls/3695768325194258581.m3u8
绵阳科技,http://192.168.2.100:8080/hls/5065630898647516957.m3u8
荥经综合,http://192.168.2.100:8080/hls/-7451535265674634067.m3u8
蓬安新闻综合,http://192.168.2.100:8080/hls/5031029863682960437.m3u8
蓬安新闻综合,http://192.168.2.100:8080/hls/-7705867714408982992.m3u8

☘️陕西频道,#genre#
陕西新闻资讯,http://192.168.2.100:8080/hls/8447357895526284050.m3u8
陕西公共,http://192.168.2.100:8080/hls/-6183605122605337226.m3u8

☘️福建频道,#genre#
三明新闻综合,http://192.168.2.100:8080/hls/-692134964235633882.m3u8
云霄综合,http://192.168.2.100:8080/hls/9036520737755330999.m3u8
云霄综合,http://192.168.2.100:8080/hls/-8888953882777926439.m3u8
厦门卫视,http://192.168.2.100:8080/hls/-5206678554497500235.m3u8
厦门卫视,http://192.168.2.100:8080/hls/390215694158341996.m3u8
漳州新闻综合,http://192.168.2.100:8080/hls/-8128862844445843269.m3u8
漳州新闻综合,http://192.168.2.100:8080/hls/2928124228146079343.m3u8
漳州新闻综合,http://192.168.2.100:8080/hls/6299428222896183966.m3u8
福州少儿,http://192.168.2.100:8080/hls/-7069353389965248112.m3u8
福建电视剧,http://192.168.2.100:8080/hls/-414766682026927521.m3u8
福建电视剧,http://192.168.2.100:8080/hls/1820252273500485592.m3u8
福建电视剧,http://192.168.2.100:8080/hls/-7757104408677680549.m3u8
福建电视剧,http://192.168.2.100:8080/hls/-1514396212687611086.m3u8
福建电视剧,http://192.168.2.100:8080/hls/8928047115249327059.m3u8
福建电视剧,http://192.168.2.100:8080/hls/-8732131581128869600.m3u8
福建综合,http://192.168.2.100:8080/hls/5085425291323575120.m3u8
福建综合,http://192.168.2.100:8080/hls/2938434199034671918.m3u8
福建综合,http://192.168.2.100:8080/hls/-6260635818069185019.m3u8
福建综合,http://192.168.2.100:8080/hls/-6455303271924004558.m3u8
福建综合,http://192.168.2.100:8080/hls/-5128296834393610297.m3u8
福建综合,http://192.168.2.100:8080/hls/2303944444820845195.m3u8
福建旅游,http://192.168.2.100:8080/hls/6544077470136655211.m3u8
福建少儿,http://192.168.2.100:8080/hls/7370588551262094464.m3u8
福建少儿,http://192.168.2.100:8080/hls/4370862653143491844.m3u8

☘️海南频道,#genre#
海南新闻,http://192.168.2.100:8080/hls/-7965438000010138554.m3u8
海南新闻,http://192.168.2.100:8080/hls/-8919476674850457775.m3u8
海南新闻,http://192.168.2.100:8080/hls/5832978615290246765.m3u8
海南新闻,http://192.168.2.100:8080/hls/4901728630533482437.m3u8
海南新闻,http://192.168.2.100:8080/hls/-7457075067830568168.m3u8
海南自贸,http://192.168.2.100:8080/hls/-8612525802670670293.m3u8
海南自贸,http://192.168.2.100:8080/hls/-4990083195517044958.m3u8
海南自贸,http://192.168.2.100:8080/hls/-3636937648860850237.m3u8
海南自贸,http://192.168.2.100:8080/hls/2967727539754809233.m3u8

☘️河南频道,#genre#
临颍综合,http://192.168.2.100:8080/hls/-7530371503018447389.m3u8
义马新闻综合,http://192.168.2.100:8080/hls/6643543944766550256.m3u8
义马新闻综合,http://192.168.2.100:8080/hls/-3563638942305138594.m3u8
光山综合,http://192.168.2.100:8080/hls/5144626727365483011.m3u8
光山综合,http://192.168.2.100:8080/hls/-1562183111553847477.m3u8
兰考新闻,http://192.168.2.100:8080/hls/-2623983306584505337.m3u8
兰考新闻,http://192.168.2.100:8080/hls/-6663399014922635041.m3u8
兰考新闻,http://192.168.2.100:8080/hls/6763401211148538819.m3u8
卫辉综合,http://192.168.2.100:8080/hls/7645169168824417725.m3u8
卫辉综合,http://192.168.2.100:8080/hls/-9101237985220728281.m3u8
卫辉综合,http://192.168.2.100:8080/hls/-1874219172322448116.m3u8
叶县,http://192.168.2.100:8080/hls/4165798925881600401.m3u8
唐河一套,http://192.168.2.100:8080/hls/-7986146465677954969.m3u8
唐河一套,http://192.168.2.100:8080/hls/-7187207039810467830.m3u8
唐河一套,http://192.168.2.100:8080/hls/-6014542406047804337.m3u8
固始综合,http://192.168.2.100:8080/hls/3874274347721615427.m3u8
固始综合,http://192.168.2.100:8080/hls/-5494441567197926722.m3u8
宝丰综合,http://192.168.2.100:8080/hls/-845143343256277439.m3u8
巩义新闻综合,http://192.168.2.100:8080/hls/-7031109671395759380.m3u8
巩义新闻综合,http://192.168.2.100:8080/hls/-8498383476054670762.m3u8
巩义新闻综合,http://192.168.2.100:8080/hls/-1158363963932809408.m3u8
新乡县电视台,http://192.168.2.100:8080/hls/-1087150653017237056.m3u8
新县综合,http://192.168.2.100:8080/hls/-1056488296554196505.m3u8
新县综合,http://192.168.2.100:8080/hls/4493608108937223321.m3u8
新蔡综合,http://192.168.2.100:8080/hls/-4762569132512662235.m3u8
新蔡综合,http://192.168.2.100:8080/hls/2904569193860921770.m3u8
新蔡综合,http://192.168.2.100:8080/hls/6150074971735470567.m3u8
泌阳新闻综合,http://192.168.2.100:8080/hls/-3677501312889792714.m3u8
泌阳新闻综合,http://192.168.2.100:8080/hls/4499223755338573751.m3u8
渑池新闻综合,http://192.168.2.100:8080/hls/6031182172368502041.m3u8
渑池新闻综合,http://192.168.2.100:8080/hls/9018889108036637310.m3u8
温县综合,http://192.168.2.100:8080/hls/-1776213849439061054.m3u8
温县综合,http://192.168.2.100:8080/hls/1963761273804125300.m3u8
温县综合,http://192.168.2.100:8080/hls/-6421868694142777440.m3u8
潢川综合,http://192.168.2.100:8080/hls/-1787141396619715715.m3u8
潢川综合,http://192.168.2.100:8080/hls/-5195817572153164119.m3u8
登封综合,http://192.168.2.100:8080/hls/-7164205515825060067.m3u8
登封综合,http://192.168.2.100:8080/hls/-3261752964407145895.m3u8
禹州综合,http://192.168.2.100:8080/hls/6373646849252123982.m3u8
西华综合,http://192.168.2.100:8080/hls/1202859518544814211.m3u8
